Aggrigator_id,Category_Code,Channel,Entity_Id,Key
,150300,Cheques,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED,MSEDCL
,150300,Cheques,PASCHIM GUJARAT VIJ COMPANY LTD,PASCHIM GUJARAT VIJ COMP
,150300,Cheques,PASCHIM GUJARAT VIJ COMPANY LTD,PASCHIM GUJARAT VIJ CO LT
,150300,Cheques,PUNJAB STATE POWER CORPORATION,PUNJAB STATE POWER CORP
,150300,Cheques,PUNJAB STATE POWER CORPORATION,PUNJAB STATE POWER CORPO
,150300,Cheques,PVVNL,PVVNL
,150300,Cheques,TATA POWER,TATA POWER CO
,150300,Cheques,TATA POWER,THE TATA POWER CO COL
,150300,Cheques,TATA POWER,TATA POWER HI DISTRIBU
,150300,Cheques,TSSPDCL,TSSPDCL
,150300,Cheques,UTTAR GUJARAT VIJ COMPANY LIMITED,UTTAR GUJARAT VIJ COMPAN
,150300,Cheques,BRPL,BRPL
,150300,Cheques,BYPL,BYPL
,150300,Cheques,PSPCL,PSPCL
,150300,Cheques,ASSAM POWER DISTRIBUTION COMPANY,ASSAM POWER DISTRIBUTION COMPANY
,150300,Cheques,ASSAM POWER DISTRIBUTION COMPANY,APDCL
,150300,Cheques,AJMER VIDYUT VITRAN NIGAM LTD,AJMER VIDYUT VITRAN NIGAM
,150300,Cheques,SOUTHERN POWER DISTRIBUTION COMPANY LIMITED OF AP,APSPDCL
,150300,Cheques,B.E.S.T,B.E.S.T
,150300,Cheques,BANGALORE ELECTRICITY SUPPLY CO LTD,BANGALORE ELECTRICITY SUPPLY
,150300,Cheques,BANGALORE ELECTRICITY SUPPLY CO LTD,BESCOM
,150300,Cheques,BHAGALPUR ELECTRICITY BOARD,BHAGALPUR ELECTRICITY BOARD
,150300,Cheques,BHARATPUR ELECTRICITY SERVICES LTD,BHARATPUR ELECTRICITY SERVICES
,150300,Cheques,BHARATPUR ELECTRICITY SERVICES LTD,BESL
,150300,Cheques,BSES,BSES
,150300,Cheques,CALCUTTA ELECTRIC SUPPLY CORPORATION,CALCUTTA ELECTRIC SUPPLY
,150300,Cheques,CALCUTTA ELECTRIC SUPPLY CORPORATION,CESC
,150300,Cheques,CHHATTISGARH STATE POWER DISTRIBUTION,CHHATTISGARH STATE POWER DISTRIBUTION
,150300,Cheques,CHAMUNDESHWARI ELECTRICITY SUPPLY CORP LTD,CHAMUNDESHWARI ELECTRICITY SUPPLY
,150300,Cheques,CHAMUNDESHWARI ELECTRICITY SUPPLY CORP LTD,CESCOM
,150300,Cheques,DAKSHIN GUJARAT VIJ COMPANY LIMITED,DAKSHIN GUJARAT VIJ COMPANY
,150300,Cheques,DAKSHIN GUJARAT VIJ COMPANY LIMITED,DGVCL
,150300,Cheques,DNH POWER DISTRIBUTION COMPANY LIMITED,DNH POWER DISTRIBUTION
,150300,Cheques,DAMAN AND DIU ELECTRICITY,DAMAN AND DIU ELECTRICITY
,150300,Cheques,EASTERN POWER DISTRIBUTION CO LTD,EASTERN POWER DISTRIBUTION
,150300,Cheques,EASTERN POWER DISTRIBUTION CO LTD,APEPDCL
,150300,Cheques,GULBARGA ELECTRICITY SUPPLY COMPANY LIMITED,GULBARGA ELECTRICITY SUPPLY
,150300,Cheques,HUBLI ELECTRICITY SUPPLY COMPANY LTD,HUBLI ELECTRICITY SUPPLY
,150300,Cheques,HUBLI ELECTRICITY SUPPLY COMPANY LTD,HESCOM
,150300,Cheques,JAIPUR VIDYUT VITRAN NIGAM,JAIPUR VIDYUT VITRAN NIGAM
,150300,Cheques,JVVNL,JVVNL
,150300,Cheques,JAMSHEDPUR UTILITIES AND SERVICES,JAMSHEDPUR UTILITIES AND SERVICES
,150300,Cheques,JODHPUR VIDHYUT VITRAN NIGAM LTD,JODHPUR VIDHYUT VITRAN NIGAM
,150300,Cheques,JHARKHAND BIJLI VITRAN NIGAM LTD,JHARKHAND BIJLI VITRAN NIGAM
,150300,Cheques,JHARKHAND BIJLI VITRAN NIGAM LTD,JBVNL
,150300,Cheques,KOTA ELECTRICITY DISTRIBUTION LTD,KOTA ELECTRICITY DISTRIBUTION
,150300,Cheques,KOTA ELECTRICITY DISTRIBUTION LTD,KEDL
,150300,Cheques,M.P. MADHYA KSHETRA VIDYUT VITARAN,MADHYA KSHETRA VIDYUT VITARAN
,150300,Cheques,M.P. PASCHIM KSHETRA VIDYUT VITARAN,PASCHIM KSHETRA VIDYUT VITARAN
,150300,Cheques,MADHYA GUJARAT VIJ COMPANY LTD,MADHYA GUJARAT VIJ COMPANY
,150300,Cheques,MADHYA GUJARAT VIJ COMPANY LTD,MGVCL
,150300,Cheques,MAHARASHTRA STATE ELECTRICITY DISTBN CO LTD,MAHARASHTRA STATE ELECTRICITY
,150300,Cheques,MEGHALAYA POWER DIST CORP LTD,MEGHALAYA POWER DIST
,150300,Cheques,MPSEB,MPSEB
,150300,Cheques,MUZAFFARPUR VIDYUT VITRAN LIMITED,MUZAFFARPUR VIDYUT VITRAN
,150300,Cheques,NESCO,NESCO
,150300,Cheques,NOIDA POWER COMPANY LTD,NOIDA POWER
,150300,Cheques,NORTH BIHAR POWER DISTRIBUTION COMPANY LTD,NORTH BIHAR POWER DISTRIBUTION
,150300,Cheques,PASCHIM GUJARAT VIJ COMPANY LIMITED,PASCHIM GUJARAT VIJ
,150300,Cheques,PASCHIM GUJARAT VIJ COMPANY LIMITED,PGVCL
,150300,Cheques,RELIANCE ENERGY,RELIANCE ENERGY
,150300,Cheques,SNDL,SNDL
,150300,Cheques,SOUTH BIHAR POWER DISTRIBUTION COMPANY LTD,SOUTH BIHAR POWER DISTRIBUTION
,150300,Cheques,SOUTHCO,SOUTHCO
,150300,Cheques,SOUTHERN POWER DISTRIBUTION CO LTD,SOUTHERN POWER DISTRIBUTION
,150300,Cheques,SOUTHERN POWER DISTRIBUTION CO LTD,APSPDCL
,150300,Cheques,TAMIL NADU ELECTRICITY BOARD,TAMIL NADU ELECTRICITY BOARD
,150300,Cheques,TNEB,TNEB
,150300,Cheques,TATA POWER,TATA POWER
,150300,Cheques,TORRENT POWER,TORRENT POWER
,150300,Cheques,TRIPURA ELECTRICITY CORP LTD,TRIPURA ELECTRICITY
,150300,Cheques,TSSPDCL,TSSPDCL
,150300,Cheques,UTTAR GUJARAT VIJ COMPANY LIMITED,UTTAR GUJARAT VIJ
,150300,Cheques,UTTAR GUJARAT VIJ COMPANY LIMITED,UGVCL
,150300,Cheques,UTTAR PRADESH POWER CORP LTD,UTTAR PRADESH POWER
,150300,Cheques,UTTAR PRADESH POWER CORP LTD,UPPCL
,150300,Cheques,UTTARAKHAND POWER CORPORATION LIMITED,UTTARAKHAND POWER
,150300,Cheques,WESCO,WESCO
,150300,Cheques,TORRENT POWER LIMITED,TORRENT POWER SHAHPUR
,150300,Cheques,TORRENT POWER LIMITED,TORRENT POWER
,150300,Cheques,TPDDL,TPDDL
