LOAN,EDUCATION LOAN,REPAYMENT,120200,"['college repayment', 'study loan return', 'education loan repayment', 'institute repayment', 'education repaymnt', 'school lon', 'education lon', 'school lone', 'institute loan', 'study lone', 'school loan repayment', 'study loan repayment', 'institute lone', 'education lone', 'study repaymnt', 'education repayment', 'school repayment', 'institute loan repayment', 'institute repaymnt', 'study reimbursement', 'education repay', 'college lon', 'study repayment', 'study repay', 'education loan return', 'school loan return', 'college lone', 'education loan', 'college loan return', 'education reimbursement', 'institute repay', 'college return', 'institute return', 'institute lon', 'study loan', 'school loan', 'study return', 'study lon', 'college loan', 'institute loan return', 'college repaymnt', 'education return', 'college loan repayment', 'school repaymnt', 'college repay', 'school return', 'school repay']"
LOAN,EDUCATION LOAN,EMI,120201,"['study emi', 'college loan installment', 'school emi', 'education installment', 'study loan emi', 'education emi', 'study installment', 'study loan installment', 'institute loan emi', 'education loan emi', 'school installment', 'school loan installment', 'institute installment', 'college emi', 'institute loan installment', 'education loan installment', 'college loan emi', 'college installment', 'school loan emi', 'institute emi']"
LOAN,EDUCATION LOAN,DISBURSEMENT,120203,"['school disb', 'institute disbursement', 'institute disb', 'school loan booking', 'school booked', 'college disburse', 'institute loan disbursement', 'education booking', 'education disburse', 'school loan disbursement', 'education loan booking', 'college disbursement', 'college booking', 'education loan disbursement', 'study disburse', 'study disb', 'education disbursement', 'school disbursement', 'study loan booking', 'study loan disbursement', 'education disb', 'study disbursement', 'institute booked', 'education booked', 'college booked', 'institute loan booked', 'study booking', 'college loan booking', 'college loan disbursement', 'college loan booked', 'school loan booked', 'school booking', 'school disburse', 'institute disburse', 'institute booking', 'study booked', 'study loan booked', 'college disb', 'education loan booked', 'institute loan booking']"
LOAN,PERSONAL LOAN,REPAYMENT,120300,"['pl loan repayment', 'pl loan return', 'personal lon', 'personal lone', 'personal repaymnt', 'pl repay', 'pl repayment', 'pl loan', 'personal repayment', 'personal return', 'pl repaymnt', 'personal loan', 'pl lon', 'pl reimbursement', 'personal repay', 'personal loan repayment', 'pl lone', 'personal loan return', 'personal reimbursement', 'pl return']"
LOAN,PERSONAL LOAN,EMI,120301,"['pl loan emi', 'personal emi', 'pl loan installment', 'personal loan emi', 'personal loan installment', 'pl installment', 'personal installment', 'pl emi']"
LOAN,PERSONAL LOAN,DISBURSEMENT,120303,"['pl loan booked', 'pl loan disbursement', 'pl disburse', 'personal booking', 'personal booked', 'pl loan booking', 'personal loan booking', 'pl booked', 'personal loan booked', 'pl disb', 'personal disburse', 'pl booking', 'pl disbursement', 'personal disbursement', 'personal disb', 'personal loan disbursement']"
LOAN,AUTO LOAN,REPAYMENT,120400,"['bike repayment', 'automobile loan return', 'automobile loan repayment', 'vehicle loan return', 'car repayment', 'automobile reimbursement', 'auto repay', 'automobile return', 'car return', 'bike lone', 'vehicle repayment', 'car repaymnt', 'vehicle repay', 'auto return', 'vehicle loan', 'car loan', 'auto reimbursement', 'vehicle lon', 'automobile lone', 'bike repay', 'bike loan return', 'automobile repaymnt', 'vehicle reimbursement', 'auto loan return', 'auto lone', 'vehicle loan repayment', 'car repay', 'car lon', 'vehicle lone', 'vehicle repaymnt', 'bike reimbursement', 'bike return', 'automobile repayment', 'automobile loan', 'bike loan repayment', 'auto loan', 'bike repaymnt', 'auto repayment', 'auto lon', 'car reimbursement', 'auto repaymnt', 'car loan repayment', 'bike lon', 'automobile lon', 'car lone', 'automobile repay', 'car loan return', 'vehicle return', 'auto loan repayment', 'bike loan']"
LOAN,AUTO LOAN,EMI,120401,"['automobile emi', 'car installment', 'vehicle loan installment', 'automobile installment', 'bike loan installment', 'auto loan emi', 'auto installment', 'car loan installment', 'vehicle installment', 'bike loan emi', 'bike installment', 'vehicle emi', 'automobile loan installment', 'auto emi', 'car loan emi', 'bike emi', 'automobile loan emi', 'auto loan installment', 'car emi', 'vehicle loan emi']"
LOAN,AUTO LOAN,DISBURSEMENT,120403,"['car loan booking', 'auto booked', 'bike disburse', 'auto loan booking', 'bike loan disbursement', 'car disbursement', 'automobile loan disbursement', 'automobile booked', 'car loan disbursement', 'vehicle loan booked', 'automobile booking', 'auto booking', 'auto disburse', 'auto loan disbursement', 'car disb', 'auto loan booked', 'car booking', 'bike loan booked', 'auto disb', 'bike booking', 'automobile disb', 'automobile loan booked', 'vehicle booking', 'automobile disburse', 'car disburse', 'bike disb', 'vehicle loan disbursement', 'vehicle loan booking', 'bike disbursement', 'vehicle booked', 'auto disbursement', 'car booked', 'bike booked', 'bike loan booking', 'vehicle disburse', 'automobile loan booking', 'vehicle disb', 'vehicle disbursement', 'car loan booked', 'automobile disbursement']"
LOAN,COMMERCIAL VEHICLE LOAN,REPAYMENT,120500,"['commercial vehicle loan return', 'commercial vehicle loan repayment']"
